location,population,date,human_development_index,total_cases,total_deaths,infected_death_percentage
Afghanistan,38928341,"2020-01-01 00:00:00",0.511,1454,72,4.952
Afghanistan,38928341,"2020-01-02 00:00:00",0.511,1557,70,4.496
Afghanistan,38928341,"2020-01-03 00:00:00",0.511,1633,69,4.225
Afghanistan,38928341,"2020-01-04 00:00:00",0.511,1534,24,1.565
Afghanistan,38928341,"2020-01-05 00:00:00",0.511,2066,88,4.259
Afghanistan,38928341,"2020-01-06 00:00:00",0.511,1539,83,5.393
Afghanistan,38928341,"2020-01-07 00:00:00",0.511,1716,97,5.653
Afghanistan,38928341,"2020-01-08 00:00:00",0.511,1484,53,3.571
Afghanistan,38928341,"2020-01-09 00:00:00",0.511,1570,77,4.904
Afghanistan,38928341,"2020-01-10 00:00:00",0.511,1855,69,3.720
Afghanistan,38928341,"2020-01-11 00:00:00",0.511,1677,81,4.830
Afghanistan,38928341,"2020-01-12 00:00:00",0.511,1556,75,4.820
Afghanistan,38928341,"2020-01-13 00:00:00",0.511,1719,64,3.723
Afghanistan,38928341,"2020-01-14 00:00:00",0.511,1717,75,4.368
Afghanistan,38928341,"2020-01-15 00:00:00",0.511,2059,102,4.954
Afghanistan,38928341,"2020-01-16 00:00:00",0.511,1853,100,5.397
Afghanistan,38928341,"2020-01-17 00:00:00",0.511,1630,72,4.417
Afghanistan,38928341,"2020-01-18 00:00:00",0.511,1770,83,4.689
Afghanistan,38928341,"2020-01-19 00:00:00",0.511,1627,56,3.442
Afghanistan,38928341,"2020-01-20 00:00:00",0.511,1743,77,4.418
Afghanistan,38928341,"2020-01-21 00:00:00",0.511,1659,53,3.195
Afghanistan,38928341,"2020-01-22 00:00:00",0.511,1629,64,3.929
Afghanistan,38928341,"2020-01-23 00:00:00",0.511,2054,90,4.382
Afghanistan,38928341,"2020-01-24 00:00:00",0.511,1545,73,4.725
Afghanistan,38928341,"2020-01-25 00:00:00",0.511,1727,101,5.848
Afghanistan,38928341,"2020-01-26 00:00:00",0.511,1571,56,3.565
Afghanistan,38928341,"2020-01-27 00:00:00",0.511,1501,76,5.063
Afghanistan,38928341,"2020-01-28 00:00:00",0.511,1676,59,3.520
Afghanistan,38928341,"2020-01-29 00:00:00",0.511,1603,58,3.618
Afghanistan,38928341,"2020-01-30 00:00:00",0.511,1744,52,2.982
Afghanistan,38928341,"2020-01-31 00:00:00",0.511,1058,22,2.079
Afghanistan,38928341,"2021-01-01 00:00:00",0.511,118,10,8.475
Afghanistan,38928341,"2021-01-02 00:00:00",0.511,143,9,6.294
Afghanistan,38928341,"2021-01-03 00:00:00",0.511,87,2,2.299
Afghanistan,38928341,"2021-01-04 00:00:00",0.511,1628,48,2.948
Afghanistan,38928341,"2021-01-05 00:00:00",0.511,221,21,9.502
Afghanistan,38928341,"2021-01-06 00:00:00",0.511,140,5,3.571
Afghanistan,38928341,"2021-01-07 00:00:00",0.511,208,11,5.288
Afghanistan,38928341,"2021-01-08 00:00:00",0.511,248,13,5.242
Afghanistan,38928341,"2021-01-09 00:00:00",0.511,169,13,7.692
Afghanistan,38928341,"2021-01-10 00:00:00",0.511,250,17,6.800
Afghanistan,38928341,"2021-01-11 00:00:00",0.511,106,12,11.321
Afghanistan,38928341,"2021-01-12 00:00:00",0.511,195,29,14.872
Afghanistan,38928341,"2021-01-13 00:00:00",0.511,150,3,2.000
Afghanistan,38928341,"2021-01-14 00:00:00",0.511,364,19,5.220
Afghanistan,38928341,"2021-01-15 00:00:00",0.511,120,13,10.833
Afghanistan,38928341,"2021-01-16 00:00:00",0.511,199,16,8.040
Afghanistan,38928341,"2021-01-17 00:00:00",0.511,198,7,3.535
Afghanistan,38928341,"2021-01-18 00:00:00",0.511,195,8,4.103
Afghanistan,38928341,"2021-01-19 00:00:00",0.511,227,10,4.405
Afghanistan,38928341,"2021-01-20 00:00:00",0.511,305,11,3.607
Afghanistan,38928341,"2021-01-21 00:00:00",0.511,336,20,5.952
Afghanistan,38928341,"2021-01-22 00:00:00",0.511,241,13,5.394
Afghanistan,38928341,"2021-01-23 00:00:00",0.511,359,11,3.064
Afghanistan,38928341,"2021-01-24 00:00:00",0.511,257,13,5.058
Afghanistan,38928341,"2021-01-25 00:00:00",0.511,240,20,8.333
Afghanistan,38928341,"2021-01-26 00:00:00",0.511,294,18,6.122
Afghanistan,38928341,"2021-01-27 00:00:00",0.511,361,9,2.493
Afghanistan,38928341,"2021-01-28 00:00:00",0.511,193,22,11.399
Afghanistan,38928341,"2021-01-29 00:00:00",0.511,282,11,3.901
Afghanistan,38928341,"2021-01-30 00:00:00",0.511,300,12,4.000
Afghanistan,38928341,"2021-01-31 00:00:00",0.511,85,8,9.412
Albania,2877800,"2020-01-01 00:00:00",0.795,1605,35,2.181
Albania,2877800,"2020-01-02 00:00:00",0.795,1558,43,2.760
Albania,2877800,"2020-01-03 00:00:00",0.795,1675,36,2.149
Albania,2877800,"2020-01-04 00:00:00",0.795,1716,40,2.331
Albania,2877800,"2020-01-05 00:00:00",0.795,1819,44,2.419
Albania,2877800,"2020-01-06 00:00:00",0.795,1886,40,2.121
Albania,2877800,"2020-01-07 00:00:00",0.795,1742,36,2.067
Albania,2877800,"2020-01-08 00:00:00",0.795,1804,28,1.552
Albania,2877800,"2020-01-09 00:00:00",0.795,1866,37,1.983
Albania,2877800,"2020-01-10 00:00:00",0.795,2041,30,1.470
Albania,2877800,"2020-01-11 00:00:00",0.795,1938,41,2.116
Albania,2877800,"2020-01-12 00:00:00",0.795,1907,35,1.835
Albania,2877800,"2020-01-13 00:00:00",0.795,1982,37,1.867
Albania,2877800,"2020-01-14 00:00:00",0.795,1893,38,2.007
Albania,2877800,"2020-01-15 00:00:00",0.795,2153,41,1.904
Albania,2877800,"2020-01-16 00:00:00",0.795,2023,35,1.730
Albania,2877800,"2020-01-17 00:00:00",0.795,2148,36,1.676
Albania,2877800,"2020-01-18 00:00:00",0.795,2035,37,1.818
Albania,2877800,"2020-01-19 00:00:00",0.795,2082,33,1.585
Albania,2877800,"2020-01-20 00:00:00",0.795,2089,43,2.058
Albania,2877800,"2020-01-21 00:00:00",0.795,1984,36,1.815
Albania,2877800,"2020-01-22 00:00:00",0.795,1694,42,2.479
Albania,2877800,"2020-01-23 00:00:00",0.795,2089,41,1.963
Albania,2877800,"2020-01-24 00:00:00",0.795,2082,44,2.113
Albania,2877800,"2020-01-25 00:00:00",0.795,1982,37,1.867
Albania,2877800,"2020-01-26 00:00:00",0.795,1865,37,1.984
Albania,2877800,"2020-01-27 00:00:00",0.795,1911,50,2.616
Albania,2877800,"2020-01-28 00:00:00",0.795,1658,51,3.076
Albania,2877800,"2020-01-29 00:00:00",0.795,2121,36,1.697
Albania,2877800,"2020-01-30 00:00:00",0.795,1891,37,1.957
Albania,2877800,"2020-01-31 00:00:00",0.795,1077,25,2.321
Albania,2877800,"2021-01-01 00:00:00",0.795,1978,39,1.972
Albania,2877800,"2021-01-02 00:00:00",0.795,2845,39,1.371
Albania,2877800,"2021-01-03 00:00:00",0.795,2646,39,1.474
Albania,2877800,"2021-01-04 00:00:00",0.795,2432,49,2.015
Albania,2877800,"2021-01-05 00:00:00",0.795,2793,56,2.005
Albania,2877800,"2021-01-06 00:00:00",0.795,2773,50,1.803
Albania,2877800,"2021-01-07 00:00:00",0.795,2896,49,1.692
Albania,2877800,"2021-01-08 00:00:00",0.795,2626,42,1.599
Albania,2877800,"2021-01-09 00:00:00",0.795,2809,39,1.388
Albania,2877800,"2021-01-10 00:00:00",0.795,2696,46,1.706
Albania,2877800,"2021-01-11 00:00:00",0.795,2321,43,1.853
Albania,2877800,"2021-01-12 00:00:00",0.795,2521,39,1.547
Albania,2877800,"2021-01-13 00:00:00",0.795,2791,33,1.182
Albania,2877800,"2021-01-14 00:00:00",0.795,2608,37,1.419
Albania,2877800,"2021-01-15 00:00:00",0.795,2128,35,1.645
Albania,2877800,"2021-01-16 00:00:00",0.795,2036,39,1.916
Albania,2877800,"2021-01-17 00:00:00",0.795,2144,43,2.006
Albania,2877800,"2021-01-18 00:00:00",0.795,2132,37,1.735
Albania,2877800,"2021-01-19 00:00:00",0.795,2251,46,2.044
Albania,2877800,"2021-01-20 00:00:00",0.795,2490,38,1.526
Albania,2877800,"2021-01-21 00:00:00",0.795,2659,27,1.015
Albania,2877800,"2021-01-22 00:00:00",0.795,2256,36,1.596
