population,date,new_cases,running_total_cases_cont,running_infection_percentage,new_deaths,running_total_deaths_cont,running_death_percentage_count
7794798729,"2020-01-22 00:00:00",0,0,0.000,0,0,0.000
7794798729,"2020-01-23 00:00:00",98,98,0.000,1,1,0.000
7794798729,"2020-01-24 00:00:00",286,384,0.000,8,9,0.000
7794798729,"2020-01-25 00:00:00",492,876,0.000,16,25,0.000
7794798729,"2020-01-26 00:00:00",685,1561,0.000,14,39,0.000
7794798729,"2020-01-27 00:00:00",809,2370,0.000,26,65,0.000
7794798729,"2020-01-28 00:00:00",2651,5021,0.000,49,114,0.000
7794798729,"2020-01-29 00:00:00",589,5610,0.000,2,116,0.000
7794798729,"2020-01-30 00:00:00",2068,7678,0.000,38,154,0.000
7794798729,"2020-01-31 00:00:00",1692,9370,0.000,42,196,0.000
7794798729,"2020-02-01 00:00:00",2111,11481,0.000,46,242,0.000
7794798729,"2020-02-02 00:00:00",4749,16230,0.000,103,345,0.000
7794798729,"2020-02-03 00:00:00",3100,19330,0.000,64,409,0.000
7794798729,"2020-02-04 00:00:00",4011,23341,0.000,66,475,0.000
7794798729,"2020-02-05 00:00:00",3745,27086,0.000,72,547,0.000
7794798729,"2020-02-06 00:00:00",3160,30246,0.000,70,617,0.000
7794798729,"2020-02-07 00:00:00",3593,33839,0.000,85,702,0.000
7794798729,"2020-02-08 00:00:00",2734,36573,0.000,87,789,0.000
7794798729,"2020-02-09 00:00:00",3030,39603,0.001,100,889,0.000
7794798729,"2020-02-10 00:00:00",2609,42212,0.001,107,996,0.000
7794798729,"2020-02-11 00:00:00",2042,44254,0.001,100,1096,0.000
7794798729,"2020-02-12 00:00:00",418,44672,0.001,5,1101,0.000
7794798729,"2020-02-13 00:00:00",15153,59825,0.001,253,1354,0.000
7794798729,"2020-02-14 00:00:00",6527,66352,0.001,152,1506,0.000
7794798729,"2020-02-15 00:00:00",2143,68495,0.001,143,1649,0.000
7794798729,"2020-02-16 00:00:00",2183,70678,0.001,104,1753,0.000
7794798729,"2020-02-17 00:00:00",2035,72713,0.001,98,1851,0.000
7794798729,"2020-02-18 00:00:00",1882,74595,0.001,140,1991,0.000
7794798729,"2020-02-19 00:00:00",500,75095,0.001,115,2106,0.000
7794798729,"2020-02-20 00:00:00",560,75655,0.001,125,2231,0.000
7794798729,"2020-02-21 00:00:00",629,76284,0.001,4,2235,0.000
7794798729,"2020-02-22 00:00:00",1761,78045,0.001,207,2442,0.000
7794798729,"2020-02-23 00:00:00",380,78425,0.001,11,2453,0.000
7794798729,"2020-02-24 00:00:00",564,78989,0.001,160,2613,0.000
7794798729,"2020-02-25 00:00:00",853,79842,0.001,80,2693,0.000
7794798729,"2020-02-26 00:00:00",977,80819,0.001,61,2754,0.000
7794798729,"2020-02-27 00:00:00",1360,82179,0.001,43,2797,0.000
7794798729,"2020-02-28 00:00:00",1386,83565,0.001,59,2856,0.000
7794798729,"2020-02-29 00:00:00",1891,85456,0.001,69,2925,0.000
7794798729,"2020-03-01 00:00:00",2381,87837,0.001,54,2979,0.000
7794798729,"2020-03-02 00:00:00",1983,89820,0.001,89,3068,0.000
7794798729,"2020-03-03 00:00:00",2594,92414,0.001,75,3143,0.000
7794798729,"2020-03-04 00:00:00",2308,94722,0.001,95,3238,0.000
7794798729,"2020-03-05 00:00:00",2811,97533,0.001,94,3332,0.000
7794798729,"2020-03-06 00:00:00",3913,101446,0.001,111,3443,0.000
7794798729,"2020-03-07 00:00:00",4095,105541,0.001,104,3547,0.000
7794798729,"2020-03-08 00:00:00",3949,109490,0.001,239,3786,0.000
7794798729,"2020-03-09 00:00:00",4172,113662,0.001,190,3976,0.000
7794798729,"2020-03-10 00:00:00",4822,118484,0.002,274,4250,0.000
7794798729,"2020-03-11 00:00:00",7661,126145,0.002,344,4594,0.000
7794798729,"2020-03-12 00:00:00",5790,131935,0.002,306,4900,0.000
7794798729,"2020-03-13 00:00:00",14384,146319,0.002,497,5397,0.000
7794798729,"2020-03-14 00:00:00",11074,157393,0.002,420,5817,0.000
7794798729,"2020-03-15 00:00:00",11269,168662,0.002,636,6453,0.000
7794798729,"2020-03-16 00:00:00",14808,183470,0.002,683,7136,0.000
7794798729,"2020-03-17 00:00:00",15943,199413,0.003,813,7949,0.000
7794798729,"2020-03-18 00:00:00",19565,218978,0.003,906,8855,0.000
7794798729,"2020-03-19 00:00:00",27049,246027,0.003,1111,9966,0.000
7794798729,"2020-03-20 00:00:00",30775,276802,0.004,1486,11452,0.000
7794798729,"2020-03-21 00:00:00",31991,308793,0.004,1722,13174,0.000
7794798729,"2020-03-22 00:00:00",34855,343648,0.004,1686,14860,0.000
7794798729,"2020-03-23 00:00:00",42835,386483,0.005,1949,16809,0.000
7794798729,"2020-03-24 00:00:00",41179,427662,0.005,2290,19099,0.000
7794798729,"2020-03-25 00:00:00",51001,478663,0.006,2810,21909,0.000
7794798729,"2020-03-26 00:00:00",62877,541540,0.007,3035,24944,0.000
7794798729,"2020-03-27 00:00:00",65041,606581,0.008,3488,28432,0.000
7794798729,"2020-03-28 00:00:00",67280,673861,0.009,3730,32162,0.000
7794798729,"2020-03-29 00:00:00",59237,733098,0.009,3519,35681,0.000
